ID,독자(인물),술어(관계),저서(문헌),태도(점수),근거(문헌),작업자,근거 문장,다중언급(0/1),비고
,김기림,refer to,제임스 허네커,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,批評에잇서서는 이일은『ᄶᅦ임쓰휸키-』에서 비롯하야印象主義者들의一群의손으로 이루어젓다 『휸키-』의 사업은 『덴켄』이引繼하고잇섯다,0,
,김기림,refer to,H. L. 멘켄,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,批評에잇서서는 이일은『ᄶᅦ임쓰휸키-』에서 비롯하야印象主義者들의一群의손으로 이루어젓다 『휸키-』의 사업은 『덴켄』이引繼하고잇섯다 / 『멘켄』『켄비』와 『워-너-』等은 가튼考案으로다시도라갓다,1,
,김기림,refer to,T. S. 엘리엇,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,純粹한技術的批評이 旺盛해갓다 엇던ᄯᅢ는藝術至上主義의現論에서서 ᄯᅩ 엇던ᄯᅢ는 『엘리옷트』의事業에서와가티反動的哲學과 連結하야──,0,
,김기림,refer to,반 윅 브룩스,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,그러고 다른派로는『반워・ᄲᅮ룩크』의派가잇섯다 그들은 個人的作家와 文化的地位와의사히에 密接한連結이 잇는것을認定하엿다,0,
,김기림,refer to,해리 핸슨,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,이러한攻擊들중의엇던 것은 檢討하는 것이 조흘 것이다 그중의엇던것들은 말할것도못된다 例를들면 日刊新聞에 나타난 嘲笑와貶下──『하리・한센』『이사벨・패터-슨』과 『윈렴・쏘스킨』의執筆─는沒理解와 無定見의混合이엿다,0,
,김기림,refer to,이사벨 패터슨,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,이러한攻擊들중의엇던 것은 檢討하는 것이 조흘 것이다 그중의엇던것들은 말할것도못된다 例를들면 日刊新聞에 나타난 嘲笑와貶下──『하리・한센』『이사벨・패터-슨』과 『윈렴・쏘스킨』의執筆─는沒理解와 無定見의混合이엿다,0,
,김기림,refer to,윌리엄 소스킨,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,이러한攻擊들중의엇던 것은 檢討하는 것이 조흘 것이다 그중의엇던것들은 말할것도못된다 例를들면 日刊新聞에 나타난 嘲笑와貶下──『하리・한센』『이사벨・패터-슨』과 『윈렴・쏘스킨』의執筆─는沒理解와 無定見의混合이엿다,0,
,김기림,refer to,헨리 해즐릿,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,그보다도더 重要한 것은 『헨리해즐릿트』『죠셉・우-드・크럿취』와『엘머-・데비쓰』等에依하야 指導되는 自由主義자의攻擊이엿다──그들은 모다지난번選擧에『노-만・토마쓰』에게投票하엿다 / 『헨리・해즐럿트』는 特別히이罪에대하야責任이잇다,1,
,김기림,refer to,조셉 우드 크러치,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,그보다도더 重要한 것은 『헨리해즐릿트』『죠셉・우-드・크럿취』와『엘머-・데비쓰』等에依하야 指導되는 自由主義자의攻擊이엿다──그들은 모다지난번選擧에『노-만・토마쓰』에게投票하엿다 / 『헨리・해즐럿트』는 特別히이罪에대하야責任이잇다 그러나그는『크럿취』와『데비산』보다는낫부지안엇다,1,
,김기림,refer to,엘머 데이비스,,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),정성훈,그보다도더 重要한 것은 『헨리해즐릿트』『죠셉・우-드・크럿취』와『엘머-・데비쓰』等에依하야 指導되는 自由主義자의攻擊이엿다──그들은 모다지난번選擧에『노-만・토마쓰』에게投票하엿다 / 『헨리・해즐럿트』는 特別히이罪에대하야責任이잇다 그러나그는『크럿취』와『데비산』보다는낫부지안엇다,1,
